Name,Brand,SKU,MPN,base_price,MSRP,Image
Shotgun Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT22M-,OPT-TT22M-,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15008/31760/Shotgun-Blast-Style-Fire-Torch__30589.1599567298.jpg?c=2
Copper Cone Tiki Torch | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",CCTTNG,CCTTNG,886.77,933.44,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19082/47011/copper-tiki__26729.1667294299.jpg?c=2
Hawi Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT20M-,OPT-TT20M-,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15006/31749/Hawi-Style-Fire-Torch__37425.1599564406.jpg?c=2
Nest Lantern - American Fyre Designs,"<span itemprop=""name"">American Fyre Designs</span>",715-XX-11-M1XC,715-XX-11-M1XC,2760.00 - 4728.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/7594/16201/715-CB-11-V1xC__51980__36113.1574443584.jpg?c=2
Shooting Star Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT21M-,OPT-TT21M-,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15007/31754/Shooting-Star-Style-Fire-Torch__56638.1599565679.jpg?c=2
TK Torch Complete Kit – Match Lit - HPC,"<span itemprop=""name"">HPC</span>",TK40MAN,TK40MAN,928.91 - 956.78,977.80 - 1007.14,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11259/47331/eauC-t4S__13147__50203.1672295253.jpg?c=2
Black Aluminum Powder Coated Torch Pole  | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",APC,APC,270.49,284.73,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19079/47333/Untitled__72607__21817.1672309888.jpg?c=2
Tropical Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT13M-,OPT-TT13M-,966.00,1063.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/1518/31808/TT12-Tropical__98683.1599644583.jpg?c=2
Hercules Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT5M-,OPT-TT5M-,966.00,1063.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/1195/47332/TT5-Hercules__45052__03162.1672296329.jpg?c=2
20K Tempest Torch,"<span itemprop=""name"">Tempest Torches</span>",949007,949007,1096.00 - 1834.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/1649/20766/tempest-torch-main-web__38343.1673478405.jpg?c=2
Honeycomb Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT14M-,OPT-TT14M-,796.00,876.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/283/31725/TT14-Honeycomb__49283.1599547822.jpg?c=2
Wall Mount 20K Tempest Lantern,"<span itemprop=""name"">Tempest Torches</span>",94800831,94800831,454.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15088/47380/Wall-Mount-20k-Tempest-Lantern__14921.1673308452.jpg?c=2
24v Transformer,"<span itemprop=""name"">Tempest Torches</span>",94800830,94800830,306.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11104/47386/primary_image_standard__23696__47274.1673578219.jpg?c=2
Black Aluminum Powder Coated Torch Pole  | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",APC,APC,270.49,284.73,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19079/47333/Untitled__72607__21817.1672309888.jpg?c=2
Plumeria Gas Tiki Torch | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",PTTNG,PTTNG,1116.43,1175.19,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19088/47061/plumeria-tiki__23548.1667335333.jpg?c=2
Vent Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT4M-,OPT-TT4M-,796.00,876.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/124/31731/TT4-vent__31998.1599550080.jpg?c=2
Wall Mount 50K Tempest Lantern,"<span itemprop=""name"">Tempest Torches</span>",94800832,94800832,411.00,468.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19160/47379/Wall_Mount_50k_Tempest_Lantern__46028.1673306110.jpg?c=2
Tiki Torch Deck Mount | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",TDM,TDM,206.23,217.08,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19081/47007/FBD_Tiki_Torch_Deck_Mount_1_1024x10242x__95307.1667289223.jpg?c=2
20K Tempest Lantern,"<span itemprop=""name"">Tempest Torches</span>",949007x6,949007x6,1526.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15096/32164/tempest-lantern-gas-torch-wall-mount-web__84959.1600137066.1280.1280__07933.1672786133.jpg?c=2
Deck Mount,"<span itemprop=""name"">Tempest Torches</span>",94800821,94800821,228.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19799/49812/94800821__23263.1718304866.jpg?c=2
Deck Mount,"<span itemprop=""name"">Tempest Torches</span>",94800821,94800821,228.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19799/49812/94800821__23263.1718304866.jpg?c=2
Shooting Star Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT21M-,OPT-TT21M-,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15007/31754/Shooting-Star-Style-Fire-Torch__56638.1599565679.jpg?c=2
Black Aluminum Powder Coated Torch Pole  | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",APC,APC,270.49,284.73,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19079/47333/Untitled__72607__21817.1672309888.jpg?c=2
Wall Mount 20K Tempest Torch,"<span itemprop=""name"">Tempest Torches</span>",94800825,94800825,414.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11114/20749/tempest-torch-mounting-wall__94910.1575312422.jpg?c=2
20K Tempest Torch,"<span itemprop=""name"">Tempest Torches</span>",949007,949007,1096.00 - 1834.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/1649/20766/tempest-torch-main-web__38343.1673478405.jpg?c=2
Lantern Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT6M-,OPT-TT6M-,966.00,1063.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/608/31759/TT6-Lanter__53937.1599566797.jpg?c=2
TK Torch Head – Match Lit - HPC,"<span itemprop=""name"">HPC</span>",TKHEAD40MAN,TKHEAD40MAN,637.48 - 656.61,671.03 - 691.17,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11261/21794/CGaMC9US__94843.1577732006.jpg?c=2
Shooting Star Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT21M-,OPT-TT21M-,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15007/31754/Shooting-Star-Style-Fire-Torch__56638.1599565679.jpg?c=2
Tiki Torch Deck Mount | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",TDM,TDM,206.23,217.08,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19081/47007/FBD_Tiki_Torch_Deck_Mount_1_1024x10242x__95307.1667289223.jpg?c=2
Diamond Plate Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT18M-,OPT-TT18M-,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15003/31741/Diamond-Plate-Style-Fire-Torch__24615.1599558630.jpg?c=2
Deck Post Mounting Plate | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TTDP,OPT-TTDP,124.00,137.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15019/31822/Top-Torch-Desk-Post-Anchor__27516.1599715080.jpg?c=2
Post,"<span itemprop=""name"">Tempest Torches</span>",94800812,94800812,288.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19164/49810/94800812__51649.1718304544.jpg?c=2
Post Cover Square Black,"<span itemprop=""name"">Tempest Torches</span>",94800827,94800827,202.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11117/47335/RockyMountainStove_3087_2021.07.13__81585__74838.1672753267.jpg?c=2
Bamboo Gas Tiki Torch | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",BTTNG,BTTNG,1116.43,1175.19,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19087/47053/bamboo-tiki__72477.1667327435.jpg?c=2
Plumeria Gas Tiki Torch | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",PTTNG,PTTNG,1116.43,1175.19,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19088/47061/plumeria-tiki__23548.1667335333.jpg?c=2
